City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Auki,SB,-8.7676,160.7034,85.23,66,51,2.86,broken clouds
Chicama,PE,-7.8447,-79.1469,72.14,57,67,7.92,broken clouds
Augusta,DE,48.3667,10.8833,31.21,72,5,9.22,clear sky
Oranjemund,NA,-28.55,16.4333,64.33,90,18,14.2,few clouds
Faya,SA,18.3851,42.4509,59.11,72,84,2.37,broken clouds
Davidson,US,36.1501,-86.7833,78.91,27,0,8.05,clear sky
Sobolevo,RU,54.4299,31.8996,26.19,90,100,13.09,overcast clouds
Port Elizabeth,ZA,-33.918,25.5701,62.89,94,0,6.91,clear sky
Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,94,40,3.44,scattered clouds
Bandarbeyla,SO,9.4942,50.8122,75.51,72,37,11.59,scattered clouds
Manta,EC,-0.95,-80.7333,85.78,66,40,11.5,scattered clouds
Elko,US,41.0002,-115.5012,48.22,56,100,7.0,overcast clouds
Saint-Philippe,RE,-21.3585,55.7679,78.39,86,56,11.68,light rain
Port-Gentil,GA,-0.7193,8.7815,75.16,100,20,1.14,mist
Mackay,AU,-21.15,149.2,87.04,84,15,8.05,few clouds
Cap Malheureux,MU,-19.9842,57.6142,79.29,90,95,3.0,overcast clouds
Ust-Tsilma,RU,65.441,52.1498,-15.56,99,14,4.16,few clouds
Saint-Joseph,RE,-21.3667,55.6167,77.38,85,54,10.49,light rain
Mount Isa,AU,-20.7333,139.5,85.77,28,21,9.22,few clouds
Jackson,US,42.4165,-122.8345,44.8,76,100,5.01,overcast clouds
Elizabeth City,US,36.2946,-76.2511,47.01,62,100,9.22,overcast clouds
Ginir,ET,7.1333,40.7,58.95,36,41,3.83,scattered clouds
Evensk,RU,61.95,159.2333,7.14,76,0,10.56,clear sky
Kuching,MY,1.55,110.3333,75.42,94,20,1.14,light rain
Stykkisholmur,IS,65.0757,-22.7297,32.81,84,91,11.32,overcast clouds
Northam,GB,51.0333,-4.2167,39.9,81,19,10.36,few clouds
Lysa Hora,UA,48.1706,31.1099,30.47,94,90,10.85,overcast clouds
Puerto Narino,CO,-3.7703,-70.3831,85.95,89,100,2.39,overcast clouds
Souillac,MU,-20.5167,57.5167,79.18,89,75,10.36,broken clouds
Homer,US,59.6425,-151.5483,44.49,57,75,8.99,broken clouds
Avarua,CK,-21.2078,-159.775,82.45,74,99,5.75,overcast clouds
Along,IN,28.1667,94.7667,54.93,88,58,2.01,broken clouds
Codrington,AU,-38.2667,141.9667,64.81,87,36,16.62,scattered clouds
Shunyi,CN,40.125,116.6453,31.95,25,0,4.47,clear sky
Upata,VE,8.0086,-62.3989,75.2,91,85,4.88,overcast clouds
Vao,NC,-22.6667,167.4833,78.98,78,47,8.14,scattered clouds
Vrangel,RU,42.7297,133.0839,30.33,73,93,23.26,overcast clouds
Swan River,CA,52.1058,-101.2676,15.69,57,100,8.05,overcast clouds
Cockburn Town,TC,21.4612,-71.1419,78.21,76,2,19.33,clear sky
Beira,MZ,-19.8436,34.8389,76.03,81,5,4.83,clear sky
Faanui,PF,-16.4833,-151.75,81.77,74,20,15.14,few clouds
Opuwo,NA,-18.0607,13.84,65.62,46,8,5.44,clear sky
Urumqi,CN,43.801,87.6005,23.95,86,0,4.47,clear sky
Grindavik,IS,63.8424,-22.4338,36.07,87,75,6.91,broken clouds
Ilhabela,BR,-23.7781,-45.3581,77.52,91,94,4.83,overcast clouds
Makubetsu,JP,45.3714,141.8211,29.39,80,100,16.22,overcast clouds
Mount Gambier,AU,-37.8333,140.7667,60.71,94,100,17.27,overcast clouds
Xichang,CN,27.8964,102.2634,42.6,86,6,1.92,clear sky
Mar Del Plata,AR,-38.0023,-57.5575,68.02,99,75,12.66,broken clouds
Acapulco,MX,16.8634,-99.8901,82.22,74,75,11.5,broken clouds
Itarema,BR,-2.9248,-39.9167,80.49,79,92,14.18,overcast clouds
Rincon,US,32.296,-81.2354,73.85,78,100,12.66,overcast clouds
Severo-Kurilsk,RU,50.6789,156.125,26.49,70,82,11.92,broken clouds
Naze,JP,28.3667,129.4833,56.32,84,87,11.88,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,1.4,85,20,3.44,few clouds
Akyab,MM,20.15,92.9,71.92,39,42,10.31,scattered clouds
Hay River,CA,60.8156,-115.7999,26.58,63,75,6.91,broken clouds
Kilindoni,TZ,-7.9139,39.6668,80.64,76,100,11.1,overcast clouds
Cherskiy,RU,68.75,161.3,-21.57,98,36,3.22,scattered clouds
Murzzuschlag,AT,47.6,15.6833,27.75,92,53,3.27,broken clouds
Mabaruma,GY,8.2,-59.7833,73.6,83,92,4.09,overcast clouds
Tsiroanomandidy,MG,-18.7667,46.0333,68.2,94,98,1.59,overcast clouds
Kalianget,ID,-7.05,113.9333,80.73,80,98,2.93,overcast clouds
Saint-Pierre,RE,-21.3393,55.4781,78.48,83,0,4.61,clear sky
Stromness,GB,58.965,-3.296,39.16,63,5,17.29,clear sky
Chara,RU,56.9064,118.2631,-12.82,76,74,2.91,broken clouds
Labuhan,ID,-6.8844,112.2051,77.43,87,100,8.66,overcast clouds
Airai,TL,-8.9266,125.4092,63.97,92,100,1.9,overcast clouds
Singaraja,ID,-8.112,115.0882,76.96,83,98,4.07,overcast clouds
Aranos,NA,-24.1333,19.1167,71.38,23,2,3.0,clear sky
Xuddur,SO,4.1213,43.8894,69.93,70,99,15.66,overcast clouds
Corinto,GR,37.9407,22.9573,52.68,76,90,2.1,overcast clouds
Cidreira,BR,-30.1811,-50.2056,77.23,87,8,16.69,clear sky
Ardakan,IR,32.31,54.0175,64.78,37,28,7.56,scattered clouds
Ryazhsk,RU,53.7038,40.1109,27.39,89,100,18.43,overcast clouds
Hasaki,JP,35.7333,140.8333,39.6,58,42,15.41,scattered clouds
Maxixe,MZ,-23.8597,35.3472,73.65,91,2,6.17,clear sky
Necochea,AR,-38.5473,-58.7368,66.04,75,2,15.05,clear sky
Cape Town,ZA,-33.9258,18.4232,70.21,71,0,19.57,clear sky
Goderich,CA,43.7501,-81.7165,33.91,64,100,8.05,overcast clouds
Saldanha,ZA,-33.0117,17.9442,66.25,87,1,15.7,clear sky
Brigantine,US,39.4101,-74.3646,39.4,42,0,13.8,clear sky
Pevek,RU,69.7008,170.3133,-12.08,97,100,4.23,overcast clouds
Pochutla,MX,15.7432,-96.4661,87.62,53,97,7.02,overcast clouds
Villamontes,BO,-21.25,-63.5,88.14,47,48,7.27,scattered clouds
Sidney,AU,-33.8679,151.2073,74.61,95,75,5.75,light rain
Gordeyevka,RU,52.9569,31.9703,27.52,92,98,12.35,overcast clouds
Masuri,KR,35.8488,128.1492,40.69,43,0,6.96,clear sky
Lapua,FI,62.9693,23.0088,20.91,95,94,4.61,overcast clouds
Whitehorse,CA,60.7161,-135.0538,33.1,58,20,12.66,few clouds
Warwick,US,41.7001,-71.4162,33.84,49,20,13.8,few clouds
Hamilton,US,39.1834,-84.5333,53.44,37,0,8.05,clear sky
Deputatskiy,RU,69.3,139.9,-23.06,97,81,2.77,broken clouds
Port Blair,IN,11.6667,92.75,79.07,82,17,6.4,few clouds
Ternate,ID,0.8,127.4,80.85,79,100,3.2,overcast clouds
Wamba,NG,8.9333,8.6,80.37,42,97,2.28,overcast clouds
Salalah,OM,17.0151,54.0924,73.49,73,0,5.75,clear sky
Florianopolis,BR,-27.6146,-48.5012,79.38,84,75,6.91,broken clouds
Jardim,BR,-21.4803,-56.1381,79.83,63,80,2.35,broken clouds
Vanavara,RU,60.34,102.2797,10.02,95,100,7.65,light snow
Ostrovnoy,RU,68.0531,39.5131,5.34,94,53,9.89,broken clouds
Qaanaaq,GL,77.484,-69.3632,1.78,65,9,7.9,clear sky
Carnarvon,AU,-24.8667,113.6333,68.07,68,0,6.91,clear sky
Etchoropo,MX,26.7667,-109.6667,78.35,29,0,15.03,clear sky
Sarai Alamgir,PK,32.9012,73.7559,55.38,66,0,7.02,clear sky
Santa Rita,BR,-7.1139,-34.9781,83.07,78,75,8.05,broken clouds
Mazamari,PE,-11.3258,-74.5308,73.67,97,100,1.21,overcast clouds
Thompson,CA,55.7435,-97.8558,21.36,45,20,4.61,few clouds
Nome,US,64.5011,-165.4064,32.16,86,100,19.57,light snow
Lavrentiya,RU,65.5833,-171.0,13.37,86,100,11.83,overcast clouds
Meulaboh,ID,4.1363,96.1285,75.76,91,54,4.34,broken clouds
Seymchan,RU,62.8833,152.4333,-14.48,97,93,1.52,overcast clouds
Eldorado,BR,-23.7869,-54.2836,79.09,88,77,7.56,moderate rain
Constitucion,CL,-35.3333,-72.4167,60.64,69,7,16.06,clear sky
Gornozavodsk,RU,58.3758,58.3211,19.02,97,100,1.52,overcast clouds
Marawi,PH,7.9986,124.2928,64.65,86,85,1.23,overcast clouds
Amapa,BR,1.0,-52.0,72.34,99,100,2.82,light rain
Saskylakh,RU,71.9167,114.0833,-31.59,100,99,1.14,overcast clouds
Lida,BY,53.8833,25.2997,27.88,85,70,8.95,broken clouds
Smithers,CA,54.7804,-127.1743,39.52,60,40,11.5,scattered clouds
Haines Junction,CA,60.7522,-137.5108,21.15,58,99,2.3,overcast clouds
Bubaque,GW,11.2833,-15.8333,77.07,72,98,12.35,overcast clouds
Hervey Bay,AU,-25.2986,152.8535,76.03,94,51,11.01,broken clouds
Bambous Virieux,MU,-20.3428,57.7575,79.05,89,75,10.36,broken clouds
Caravelas,BR,-17.7125,-39.2481,78.26,81,0,7.23,clear sky
Henties Bay,NA,-22.116,14.2845,61.86,86,1,7.23,clear sky
Kahului,US,20.8947,-156.47,83.46,75,40,18.41,scattered clouds
Abnub,EG,27.2696,31.1511,57.42,38,99,4.56,overcast clouds
Vila Velha,BR,-20.3297,-40.2925,82.35,74,40,9.22,scattered clouds
San Miguel De Cauri,PE,-10.1,-76.5833,50.5,81,100,0.51,light rain
Halifax,CA,44.6453,-63.5724,21.2,71,97,10.36,overcast clouds
Bousso,TD,10.4795,16.7117,90.0,22,90,1.25,overcast clouds
Menongue,AO,-14.6585,17.691,64.99,97,100,3.09,light rain
Norman Wells,CA,65.282,-126.8329,12.24,57,40,3.44,scattered clouds
Argostolion,GR,38.1811,20.489,51.48,84,100,4.79,overcast clouds
Okha,RU,53.5739,142.9478,7.93,98,96,5.68,overcast clouds
Aykhal,RU,66.0,111.5,-19.93,100,100,3.29,overcast clouds
Awjilah,LY,29.1081,21.2869,59.86,27,16,10.51,few clouds
Port Hardy,CA,50.6996,-127.4199,44.76,75,100,6.91,overcast clouds
Paamiut,GL,61.994,-49.6678,20.77,83,86,9.06,overcast clouds
Maceio,BR,-9.6658,-35.7353,72.84,94,75,0.0,moderate rain
Provost,CA,52.3501,-110.2683,15.26,91,100,7.76,light snow
Alofi,NU,-19.0595,-169.9187,82.29,83,100,9.22,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,58.42,40,100,6.91,overcast clouds
Ovalle,CL,-30.5983,-71.2003,77.83,47,1,5.66,clear sky
Camacha,PT,33.0833,-16.3333,56.62,67,40,10.36,scattered clouds
Krasnoselkup,RU,65.7,82.4667,-15.41,92,84,11.68,broken clouds
Odesskoye,RU,54.2111,72.9651,4.5,97,28,4.68,scattered clouds
Elliot,ZA,-31.3333,27.85,57.65,98,100,3.27,overcast clouds
Sioux Lookout,CA,50.1001,-91.917,23.38,28,100,2.3,overcast clouds
Dharchula,IN,29.85,80.5333,47.37,36,0,9.86,clear sky
Kolpashevo,RU,58.3131,82.9089,2.7,97,99,6.02,overcast clouds
Dikson,RU,73.5069,80.5464,-27.44,100,72,6.11,broken clouds
Cabinda,AO,-5.55,12.2,79.52,83,99,5.82,overcast clouds
San Antonio,US,29.4241,-98.4936,83.95,43,75,14.97,broken clouds
Tres Arroyos,AR,-38.3739,-60.2798,63.07,60,2,13.49,clear sky
Pendleton,US,45.6721,-118.7886,51.75,58,75,6.91,broken clouds
Birin,NP,26.8865,88.0718,49.12,56,3,5.77,clear sky
Mahebourg,MU,-20.4081,57.7,79.09,89,75,10.36,broken clouds
Magelang,ID,-7.4706,110.2178,75.74,97,96,0.94,overcast clouds
Beloha,MG,-25.1667,45.05,75.24,88,38,13.71,scattered clouds
Axim,GH,4.8699,-2.2405,79.95,88,58,9.26,broken clouds
Muros,ES,42.7762,-9.0603,48.24,88,37,6.51,scattered clouds
Ghanzi,BW,-21.5667,21.7833,69.64,79,71,2.64,light rain
Plouzane,FR,48.3833,-4.6167,41.18,78,75,6.91,broken clouds
Antofagasta,CL,-23.65,-70.4,70.88,81,10,3.56,clear sky
Gat,IL,31.61,34.7642,53.4,100,70,4.03,broken clouds
Dali,CN,25.7,100.1833,42.85,55,0,4.41,clear sky
San Policarpo,PH,12.1791,125.5072,79.81,85,58,11.56,broken clouds
Aljezur,PT,37.3191,-8.8033,47.61,72,48,10.02,scattered clouds
Geraldton,AU,-28.7667,114.6,66.61,34,21,8.05,few clouds
Sterling,US,39.0062,-77.4286,46.98,36,20,5.99,few clouds
Quelimane,MZ,-17.8786,36.8883,78.75,83,20,0.0,few clouds
Roald,NO,62.5833,6.1333,41.92,52,0,10.36,clear sky
Nanortalik,GL,60.1432,-45.2371,24.75,79,100,16.91,light snow
Tsaratanana,MG,-16.7833,47.65,72.72,97,99,2.21,light rain
Paramirim,BR,-13.4425,-42.2389,73.92,70,100,7.18,heavy intensity rain
Hohhot,CN,40.8106,111.6522,12.49,37,0,6.71,clear sky
Nuuk,GL,64.1835,-51.7216,29.01,37,20,9.22,few clouds
Quimper,FR,48.0,-4.1,41.68,81,0,5.75,clear sky
Bend,US,44.0582,-121.3153,39.87,66,75,6.91,broken clouds
Mezen,RU,65.8522,44.24,-6.86,95,12,4.7,few clouds
Chapais,CA,49.7834,-74.8492,13.78,86,100,9.22,overcast clouds
Flinders,AU,-34.5833,150.8552,75.06,93,100,8.01,overcast clouds
Poptun,GT,16.3311,-89.4169,70.84,81,89,4.27,overcast clouds
Roebourne,AU,-20.7833,117.1333,85.17,61,5,11.77,clear sky
Japura,ID,-0.3167,102.35,73.24,98,81,2.06,broken clouds
Krasnoarmeysk,RU,51.0239,45.6969,31.06,97,100,16.53,snow
Marrakesh,MA,31.6315,-8.0083,51.87,58,40,13.8,scattered clouds
Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,20,40,24.16,scattered clouds
Vorkuta,RU,67.5,64.0,-32.67,100,100,2.62,overcast clouds
East London,ZA,-33.0153,27.9116,70.12,87,93,4.85,overcast clouds
Piacabucu,BR,-10.4056,-36.4344,79.75,83,81,14.72,light rain
Aswan,EG,24.0934,32.907,65.5,24,0,8.05,clear sky
Okato,NZ,-39.2,173.8833,68.92,68,100,4.81,overcast clouds
Tezu,IN,27.9167,96.1667,63.93,39,51,3.78,broken clouds
Banamba,ML,13.55,-7.45,76.57,19,100,9.17,overcast clouds
Greenville,US,35.6127,-77.3663,57.34,48,100,4.61,overcast clouds
Biloela,AU,-24.4167,150.5,85.35,50,79,4.27,broken clouds
Pinega,RU,64.7001,43.3936,0.86,97,76,6.24,broken clouds
Guerrero Negro,MX,27.9769,-114.0611,65.05,53,0,16.51,clear sky
Yar-Sale,RU,66.8333,70.8333,-13.83,98,91,9.42,overcast clouds
Rudozem,BG,41.4833,24.85,34.75,94,99,3.36,overcast clouds
Olinda,BR,-8.0089,-34.8553,78.53,89,75,11.5,light intensity shower rain
Waddan,LY,29.1614,16.139,61.39,20,0,12.68,clear sky
Anori,BR,-3.7728,-61.6442,75.29,96,96,1.36,heavy intensity rain
Sao Felix Do Xingu,BR,-6.6447,-51.995,75.49,88,94,2.17,overcast clouds
Sola,VU,-13.8833,167.55,81.99,73,35,4.79,scattered clouds
Santander,ES,43.4647,-3.8044,46.45,89,75,5.99,broken clouds
Yerbogachen,RU,61.2767,108.0108,-13.54,100,100,3.6,overcast clouds
Huntsville,US,34.7304,-86.5861,80.13,24,0,9.22,clear sky
San Carlos De Bariloche,AR,-41.1456,-71.3082,51.55,58,40,25.32,scattered clouds
Bonavista,CA,48.6499,-53.1147,18.12,59,94,21.47,overcast clouds
Truth Or Consequences,US,33.1284,-107.2528,73.63,13,0,31.07,clear sky
Port Moresby,PG,-9.4431,147.1797,78.22,94,40,5.75,scattered clouds
Batyrevo,RU,55.0675,47.6111,28.2,97,100,11.43,light snow
Pinotepa Nacional,MX,16.3167,-98.0167,85.35,46,9,8.99,clear sky
Nishihara,JP,26.1842,127.7558,67.28,94,100,10.36,overcast clouds
Puerto Baquerizo Moreno,EC,-0.9,-89.6,79.79,89,75,6.91,broken clouds
Klichka,RU,50.4457,117.996,0.25,78,28,4.9,scattered clouds
Wenzhou,CN,27.9994,120.6668,59.92,87,89,0.83,overcast clouds
Sur,OM,22.5667,59.5289,73.33,63,31,12.03,scattered clouds
Matara,LK,5.9485,80.5353,75.54,90,99,3.06,light rain
Altamont,US,42.2068,-121.7372,40.77,53,40,19.57,scattered clouds
Buctzotz,MX,21.2,-88.7833,81.93,57,60,8.9,broken clouds
Erzin,TR,36.9559,36.2,47.12,71,84,2.33,broken clouds
Carauari,BR,-4.8828,-66.8958,75.27,94,100,2.24,overcast clouds
Calamar,CO,10.2511,-74.9146,84.15,59,39,16.51,scattered clouds
Ibimirim,BR,-8.5406,-37.6903,76.32,72,93,5.08,light rain
Draguignan,FR,43.5333,6.4667,48.52,84,98,0.0,overcast clouds
